Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
3,2014,19698,3,1,1,59.74772727,624,37.5,4,1.53,26
1,2017,22033,2,1,1,52.4124,1198,77,6,5.58,17
3,2014,35487,3,1,1,43.51704545,1197,82.9,5,4.74,22
2,2014,46374,3,0,1,34.39022727,1999,149.92,5,8.85,22
6,2016,52001,3,0,1,33.59045455,1798,138.03,5,10.11,14
7,2008,58005,2,1,2,30.843,1991,112.2,5,4.25,22
2,2012,70704,3,1,1,26.46306818,2694,163.7,7,10.95,14
10,2014,75000,2,1,1,50.508,1120,71,5,3.85,22
10,2012,75800,2,1,2,34.2585,2498,105,6,5.5,17
3,2015,13648,2,0,1,35.4177,1968,174.33,5,21.43,9
5,2014,52000,2,1,1,47.403,1248,74,5,4.25,25
11,2014,53000,2,1,1,36.846,1248,75,5,3.3,25
5,2013,65650,2,1,1,58.788,1248,74,5,3.85,25
8,2015,54000,3,1,3,44.45795455,1197,82,5,3.6,22
11,2015,39000,3,1,1,35.37818182,1598,103.2,5,3.99,23
3,2017,16542,3,1,1,59.20670455,799,53.3,5,3.3,20
11,2010,32000,3,1,1,47.89227273,1197,78.9,5,2.07,22
4,2010,121812,2,0,1,27.5103,1995,147.6,5,7.75,24
4,2010,39300,3,1,1,42.81136364,998,67.1,5,2.25,25
6,2017,22000,2,1,1,28.3176,2393,147.8,8,16.5,14
2,2010,72000,2,1,1,41.4,1399,68,5,2.75,19
5,2015,58000,3,0,1,27.61568182,1796,186,5,26.7,8
9,2011,65000,2,1,2,32.706,2148,170,5,10,8
8,2016,178000,2,1,1,51.75,1396,69,5,2.5,26
10,2012,65664,2,0,1,34.2585,1968,140,5,13.5,9
6,2007,63000,3,0,2,38.57727273,1497,78,5,1.85,21
1,2019,15369,2,0,1,26.082,1950,194,5,35.67,8
9,2016,63000,2,1,1,50.7564,1248,88.5,7,8.15,25
6,2018,13000,2,1,1,45.747,1396,88.7,5,10.5,22
6,2008,73000,3,0,1,19.99431818,4806,500,5,14.5,4
6,2015,55729,2,1,1,31.257,2179,140,7,9.65,17
3,2012,45178,3,0,1,39.87102273,1197,78.9,5,3.48,22
3,2015,56066,2,1,1,40.6548,1461,108.5,5,6.92,24
1,2016,37300,3,0,2,38.8125,1198,86.8,5,6.46,21
5,2014,56000,2,0,2,38.3571,1968,187.74,5,29.5,9
10,2008,111111,2,1,1,36.846,1399,67,5,2,19
8,2006,230000,3,1,3,29.16818182,1998,132,8,4.5,14
4,2012,104000,2,1,1,26.496,2494,102,7,11.75,14
4,2005,87591,3,1,1,42.15272727,1086,63,5,1.3,22
10,2012,95100,2,1,1,47.403,1248,74,5,3.75,25
9,2017,70000,3,1,1,41.32943182,1193,88.7,5,4.5,26
3,2016,54944,3,1,1,42.34090909,1198,86.7,5,4.82,21
4,2012,70337,2,1,1,41.4,1399,68,5,2.8,19
10,2013,99638,2,1,1,48.024,1248,73.94,5,3.11,25
5,2009,52000,3,1,1,41.87045455,1497,117.3,5,3.25,21
5,2011,75000,2,0,2,34.6311,1995,218,5,13.9,10
9,2009,95980,3,1,1,47.89227273,1197,78.9,5,2.25,22
2,2016,16000,3,1,1,44.45795455,1197,82,5,5.75,22
4,2007,73745,3,1,1,39.98863636,1086,63,5,2.1,22
6,2016,18949,3,1,1,41.87045455,1198,86.7,5,5,21
5,2014,107000,2,1,1,26.91,2982,168.5,7,16.5,14
1,2018,48367,2,0,1,36.5976,1968,174.33,5,39.58,9
5,2013,57000,2,1,1,46.989,1498,89.84,5,5.5,19
5,2014,58000,2,1,1,31.257,2179,140,7,8.1,17
11,2015,30000,2,1,1,53.406,1498,98.6,5,3.5,21
11,2013,34212,2,1,1,45.6849,1199,73.9,5,2.79,23
7,2010,70002,2,1,1,33.534,1493,110,5,3.45,22
2,2016,62000,3,1,1,44.45795455,998,67.1,5,4.45,25
5,2010,62001,3,1,1,35.89568182,1598,103.5,5,2.65,23
9,2011,78958,2,1,2,47.61,1396,90,5,3.8,22
6,2014,30180,3,1,1,43.51704545,1197,82.85,5,4.65,22
9,2017,32851,3,1,1,46.64556818,1198,67,7,3.95,28
11,2010,30000,2,0,1,30.9258,2967,241.4,5,9.8,9
9,2009,66000,3,1,2,39.98863636,1197,80,5,2.7,22
1,2010,93850,3,1,1,32.93181818,796,35,5,2.41,25
7,2014,53000,3,1,1,41.65875,1197,78.9,5,3.9,14
4,2011,78000,2,0,2,30.5118,2993,270.9,5,24,5
5,2012,65000,2,1,2,33.12,2179,140,7,5.75,17
11,2014,40000,2,0,1,46.2024,1582,126.32,5,5.25,22
6,2017,30000,2,0,1,23.5152,2755,171.5,7,19.25,14
1,2017,38053,3,1,1,35.51931818,1196,73,5,3.91,25
2,2014,25500,3,1,1,59.74772727,624,37.5,4,2.15,26
6,2015,56087,2,0,1,46.9683,1995,190,5,20.75,10
5,2010,71088,3,1,1,31.75568182,1799,130,5,3.35,21
7,2014,55000,2,1,1,26.8893,2494,100.6,7,11.11,14
2,2014,32700,2,0,1,48.231,1984,150,5,20,11
1,2016,39882,3,0,1,45.04602273,1198,75.94,5,6.55,24
6,2009,128000,3,0,1,25.40454545,2497,215,5,7,10
6,2016,55000,2,1,1,50.301,1248,88.5,5,7.5,25
6,2005,102000,3,1,2,39.98863636,1086,63,5,0.85,22
9,2014,53753,2,0,2,31.05,2143,107.3,5,16.75,8
11,2018,10250,2,1,1,45.54,1582,126.2,5,10.95,22
9,2011,43874,3,1,1,44.45795455,998,67.1,5,2.45,25
1,2017,32684,3,0,1,51.51477273,624,37.48,4,3.23,26
11,2014,42000,2,1,1,24.9435,2179,120,8,7.75,17
11,2009,28352,3,0,1,27.52159091,1796,178,5,9.35,8
9,2013,89900,4,1,1,39.80885552,998,58.16,5,3.25,25
2,2007,47700,3,1,2,25.40454545,2354,152,5,5.25,21
9,2015,55000,2,0,1,43.9047,1498,103.2,5,7.25,23
3,2017,44285,3,1,1,48.76261364,1373,91.1,5,7.47,25
10,2016,54000,2,0,1,33.12,2179,140,7,13.25,17
1,2016,30232,3,1,1,49.63295455,1197,85.8,5,5.81,25
4,2014,88500,3,1,1,56.61920455,998,67.1,5,2.6,25
11,2017,13372,3,0,1,44.69318182,2996,362.07,2,54,8
3,2019,12645,3,0,1,39.98863636,1591,121.3,5,11.5,22
8,2010,94385,3,1,2,46.33977273,796,46.3,5,1.6,25
1,2015,31821,2,0,1,42.6006,1995,143,5,17.22,10
6,2015,12000,3,0,1,44.69318182,1199,88.7,5,6,21
5,2012,88578,3,1,1,31.75568182,1799,130,5,3.95,21
3,2014,44965,2,0,1,39.8889,2143,170,5,17.95,8
11,2014,45044,2,1,1,53.406,1498,98.6,5,3.7,21
3,2016,34204,3,1,1,51.75,1197,81.8,5,5.43,25
3,2008,80759,3,1,3,39.98863636,1086,63,5,1.67,22
1,2012,91235,2,1,1,23.805,2982,171,7,13.49,14
9,2014,38800,3,1,1,43.75227273,1199,76.8,5,2.85,29
8,2013,83000,2,1,1,43.7598,1498,103.52,5,4.75,18
3,2018,41283,3,1,1,48.76261364,1373,91.1,5,9.9,25
6,2013,23000,3,0,1,25.99261364,2894,444,4,37,9
6,2014,48000,2,0,1,45.0432,1995,190,5,26.5,10
1,2015,48214,2,0,1,35.4177,1968,174.33,5,23.32,9
8,2016,35000,2,1,1,47.403,1248,74,5,6.25,25
11,2010,35277,3,0,1,18.37125,5461,362.9,5,30,8
1,2016,54620,2,0,1,44.8362,1498,103.52,5,9.86,18
9,2012,136997,2,0,1,35.604,1968,138.1,5,8.5,18
3,2019,14322,3,1,1,49.63295455,814,55.2,5,4.23,22
10,2012,65634,2,1,1,45.6849,1199,73.9,5,3.5,23
11,2016,6000,3,1,1,48.52738636,1198,67.06,5,2.5,28
11,2013,33280,3,1,1,45.63409091,1198,86.8,5,2.39,21
5,2013,29000,3,0,1,34.81363636,1595,120.7,5,11.25,8
3,2015,42831,2,1,1,53.82,1498,98.6,5,7.11,21
7,2016,90000,2,1,1,26.8893,2494,100.6,7,10.9,14
7,2017,24005,3,1,1,47.98636364,1197,81.8,5,6.2,25
6,2012,32792,2,1,1,31.257,2179,140,7,7.9,17
3,2014,147898,2,1,1,46.989,1498,89.84,5,4.42,19
6,2012,131765,2,1,1,26.91,2982,168.5,7,13.5,14
8,2013,65000,2,0,1,44.505,1498,108.5,5,6.25,23
10,2010,66123,2,1,2,41.4,1399,68,5,2.1,19
6,2015,41000,2,0,1,31.671,2993,258,5,45,10
1,2017,23550,2,0,1,39.8889,2143,167.62,5,33.66,8
2,2012,45000,3,1,2,45.63409091,1198,86.8,5,3.65,21
5,2013,60000,3,1,1,47.89227273,1197,78.9,5,2.75,22
2,2016,44414,2,0,1,37.053,2143,170,5,42.5,8
11,2019,1000,3,1,1,44.45795455,1197,81.86,5,6.5,22
6,2012,62500,2,0,2,36.5976,1968,174.33,5,19,9
6,2013,21000,3,0,2,33.87272727,1598,103.6,5,4.45,23
10,2017,8525,2,0,2,34.362,1998,112,5,23,7
2,2014,29000,2,1,1,46.6578,1396,88.73,5,8.35,22
6,2014,40000,2,0,1,36.5976,1968,174.33,5,22.95,9
10,2012,88000,2,1,1,52.6608,936,57.6,5,1.5,29
3,2012,53537,3,0,1,32.22613636,1798,157.75,5,6.89,18
8,2006,216000,2,1,2,36.846,1399,68,5,1.45,19
4,2014,51000,2,0,1,46.5336,1995,190,5,33.5,10
10,2007,118500,3,1,1,30.34431818,1598,102.5,5,1.25,29
4,2012,63000,2,1,1,45.6849,1199,73.9,5,4.2,23
6,2015,25000,2,1,1,41.3586,1461,108.5,8,6.75,20
2,2014,37382,2,0,1,26.91,2143,201.1,5,32,8
3,2017,24773,3,1,1,50.33863636,1197,83.1,5,7.5,25
5,2012,62000,2,1,1,46.2024,1582,126.32,5,4.6,22
3,2017,52340,3,1,1,46.59852273,1086,68.05,5,4.04,22
3,2016,56739,2,1,1,31.878,1997,120,7,10.31,17
1,2018,36091,2,0,1,26.289,2179,187.7,5,55.76,3
8,2010,120000,2,1,1,41.4,1399,68,5,2.6,19
6,2016,33000,2,1,1,52.7229,1248,88.5,7,8.5,25
7,2007,60006,3,1,1,30.10909091,1497,77,5,2.95,21
11,2014,52000,2,1,1,53.406,1498,98.6,5,3.5,21
10,2015,43571,3,1,1,47.89227273,1197,78.9,5,3.55,22
11,2013,50000,2,1,1,53.406,1498,98.6,5,3.25,21
4,2008,113000,2,1,1,36.225,1896,106,5,4.5,18
5,2014,90000,2,1,1,41.1309,1461,83.8,5,5.35,20
8,2017,29000,2,1,2,36.1215,1493,100,7,6.5,17
6,2016,20000,2,1,1,50.301,1248,88.5,5,9,25
3,2016,61012,3,1,1,43.75227273,1197,81.83,5,6,22
10,2009,87459,3,1,1,34.57840909,1390,85,5,2.75,18
9,2010,70500,3,1,1,36.78954545,1193,64.1,5,1.5,26
5,2015,64103,2,0,1,32.5611,1968,174.33,5,19.9,9
6,2014,76000,3,0,1,34.57840909,1798,177.5,5,10,18
5,2014,104000,2,1,1,48.8313,1364,67.06,5,3,14
11,2010,42001,3,1,1,37.87159091,1197,84,5,2.11,25
3,2014,37245,3,0,1,34.81363636,1595,120.7,5,11.96,8
11,2013,45000,2,1,1,56.718,1498,98.6,5,3.25,21
10,2012,117837,2,1,2,46.2024,1582,126.32,5,4.75,22
6,2014,30000,2,1,1,42.3522,1461,83.8,5,5.95,20
5,2015,27057,3,1,2,35.96625,1591,121.3,5,8.15,22
6,2016,8500,3,0,1,48.24511364,998,67,5,4.22,25
11,2010,30500,3,0,1,27.61568182,1796,186,5,10.5,8
5,2012,56000,2,0,1,24.426,2967,246.7,5,45,9
9,2012,44000,3,1,2,46.59852273,1086,68.05,5,2.9,22
6,2017,10500,3,0,1,33.6375,1598,103.52,5,8.9,18
4,2017,26000,3,0,1,34.50784091,1798,177.46,5,26,18
1,2018,25166,3,1,1,40.43556818,1197,81.86,5,8.22,22
11,2014,64000,2,1,2,53.406,1498,98.6,5,3.5,21
8,2004,61000,3,1,2,44.45795455,998,67.1,5,1.25,25
4,2013,107000,2,1,1,43.5321,1461,65,5,3.7,17
1,2018,29161,2,0,1,39.8889,2143,167.62,5,39.41,8
11,2013,32000,3,1,1,52.92613636,998,67.04,5,2.65,25
1,2015,46173,2,1,2,39.3507,1461,108.5,5,8.92,24
5,2013,47000,2,1,1,36.846,1248,74,5,4.1,25
3,2017,26327,3,0,1,39.56522727,1998,189.08,4,35.67,7
2,2015,70436,2,1,1,52.785,1498,99,5,3.6,19
10,2007,200000,2,1,2,35.604,1396,53.5,5,0.85,26
3,2016,60813,3,1,2,43.75227273,1199,76.8,5,3.32,29
6,2012,45000,2,1,1,45.6849,1199,73.9,5,3.6,23
4,2016,64000,2,1,1,47.403,1248,74,5,6.8,25
11,2012,41284,2,1,1,41.4,1399,68.05,5,2.5,19
3,2019,14165,2,0,1,23.5152,2755,171.5,7,19.64,14
6,2011,67000,2,0,2,24.2604,2199,194.3,7,7,22
11,2011,32572,3,1,1,40.92954545,1497,117.3,5,3.87,21
3,2018,14960,3,1,1,43.75227273,1197,81.83,5,6.27,22
3,2015,55980,2,0,1,39.8889,2143,167.62,5,18.12,8
6,2013,74000,2,1,1,52.6608,936,57.6,5,2.65,29
3,2015,56847,2,1,1,46.6578,1396,88.73,5,7.2,22
1,2015,121374,2,1,1,26.8893,2494,100.6,7,14.3,14
8,2013,52000,2,1,1,42.9939,1248,88.76,7,6.9,25
6,2014,118000,2,1,1,26.496,2494,102,7,10.75,14
6,2007,72000,3,1,3,39.98863636,1086,63,5,0.95,22
3,2016,33915,3,1,1,41.87045455,1497,117.3,5,8.09,21
7,2014,82002,2,0,1,35.2935,1995,184,5,18.5,10
6,2017,33000,2,1,1,49.68,1120,70,5,4.75,22
8,2016,34000,2,1,1,58.1463,1248,88.5,5,8.45,25
11,2012,55000,2,1,1,42.435,1598,103.6,5,3.5,18
3,2006,160538,2,1,1,27.117,1493,82,5,1.8,22
10,2014,60000,2,1,2,41.2137,1498,103.6,5,3.7,23
1,2017,49575,3,1,1,43.9875,1199,88.7,5,7.17,21
10,2010,83000,3,1,1,46.59852273,1086,68.05,5,1.75,22
3,2018,51346,2,0,1,33.9066,1995,183,5,21.99,22
9,2017,43000,2,1,1,28.3176,2393,147.8,7,18.65,14
10,2011,35000,3,1,3,46.33977273,796,35,5,1.85,25
1,2017,27872,3,1,2,47.98636364,1197,81.8,5,5.95,25
6,2014,16514,3,1,1,44.45795455,1197,82,5,3.75,22
9,2012,120000,2,1,1,47.403,1248,74,5,3.75,25
4,2008,143275,2,1,1,45.54,1582,126.2,5,2.6,22
4,2006,99000,3,1,1,42.15272727,1086,63,5,1.75,22
6,2010,52000,3,1,1,39.98863636,1197,80,5,2.8,22
1,2017,29819,2,0,1,23.9499,2987,254.79,5,61.29,8
2,2014,57000,2,1,2,32.706,2148,170,5,18,8
4,2014,88500,2,1,1,48.024,1248,73.94,5,4.35,25
2,2016,28000,2,1,1,40.7169,1582,126.2,5,13.75,22
9,2010,67000,3,1,1,44.69318182,998,66.1,5,2,25
5,2016,26000,2,1,1,40.6548,1461,108.45,5,10,20
5,2010,120000,2,1,1,36.846,1248,76,5,1.65,27
1,2017,51982,2,0,1,34.2585,2993,258,5,45.77,10
2,2010,36000,3,1,2,47.89227273,1197,78.9,5,3.25,22
9,2016,47000,2,1,1,26.496,2494,102,7,12.8,14
6,2002,60000,3,1,3,40.69431818,993,60,5,0.55,25
4,2018,31025,2,1,1,58.788,1248,74,5,7.15,25
9,2013,105000,2,1,2,24.9435,2179,120,8,7,17
9,2017,121900,2,1,1,47.5065,1248,74,5,3.75,26
6,2017,22695,3,1,1,44.41090909,999,123.24,5,8.5,19
10,2012,73000,2,1,1,48.438,1248,74,5,4.35,25
3,2016,32227,3,1,1,53.49068182,796,47.3,5,3.26,25
10,2011,55000,3,1,1,39.98863636,1497,118,5,4.21,21
3,2018,11287,2,0,1,24.9849,2967,241.4,7,70.36,9
6,2009,48000,2,0,2,35.19,1896,105,5,2.95,18
3,2012,54308,3,1,1,40.22386364,1591,121.3,5,4.28,22
10,2009,78442,3,0,1,39.51818182,1497,118,5,3.57,21
11,2013,46000,2,1,1,45.333,1396,88.8,5,3.11,22
1,2014,45051,3,0,1,35.28409091,1396,98.6,5,5.96,22
4,2011,69000,2,1,1,42.5178,1598,103.6,5,4.7,23
7,2014,49000,3,1,1,40.92954545,1497,117.3,5,6.9,21
9,2018,45000,2,1,1,47.5065,1248,74,5,5.25,26
9,2015,64000,2,0,1,38.2536,1995,177,5,28,10
5,2009,60000,3,1,1,44.45795455,1061,67,5,1.35,25
5,2015,62178,3,1,1,42.81136364,1199,88.7,5,4.85,21
1,2012,58006,2,1,1,31.05,1896,105,5,6.7,23
4,2010,74000,3,1,1,47.89227273,1197,78.9,5,3.1,22
3,2015,77771,2,0,1,39.8889,2143,170,5,18.64,8
9,2012,45275,3,1,1,47.89227273,1197,78.9,5,2.8,22
8,2016,48000,2,1,1,28.3176,2393,147.8,7,20.25,14
3,2015,31652,2,0,1,36.5976,1968,174.33,5,26.78,9
4,2010,109000,2,1,2,26.8893,2494,100.6,7,8.26,14
6,2015,31978,3,1,1,38.74193182,1198,73.9,5,3.89,23
4,2011,70000,3,1,1,49.20954545,998,67.1,5,2.1,25
6,2017,15000,3,0,1,42.34090909,1497,117.3,5,12.69,21
1,2013,59138,2,1,1,35.19,1405,70,5,2.58,26
3,2014,61726,2,0,1,36.5976,1968,174.33,5,20.77,9
5,2015,48000,2,0,1,37.053,2143,136,5,20.26,8
8,2006,58000,3,1,2,42.15272727,1086,63,5,1.5,22
11,2011,60020,2,1,1,36.846,1248,74,5,2.5,25
4,2014,77815,3,0,1,54.3375,998,67.04,5,4.25,25
4,2017,29000,2,0,1,37.053,2143,201.15,5,57,8
5,2017,44000,2,0,1,26.289,2179,187.7,5,44,3
4,2011,108626,2,1,1,42.5178,1598,103.6,5,3.65,23
4,2012,71791,3,1,1,32.93181818,796,35,5,2.05,25
3,2012,91931,3,1,1,43.51704545,1198,86.8,5,3.13,21
4,2000,158000,2,1,2,29.1249,2956,83.1,7,1.5,26
9,2012,91183,2,1,1,37.26,1248,75,5,2.85,26
5,2012,65000,3,1,1,44.45795455,998,67.1,5,2.65,25
4,2015,88428,2,1,1,33.12,2179,140,7,10.6,17
9,2008,138000,2,1,2,35.397,1396,70,5,1.25,26
6,2018,18000,3,1,1,37.68340909,1373,93.7,7,8.25,25
6,2011,60000,3,0,1,27.52159091,2354,177.6,5,4.45,21
11,2012,48000,2,1,1,39.951,1248,73.9,5,3.7,25
4,2009,160000,2,1,1,36.846,1399,68,5,2.8,19
11,2008,40000,3,1,1,41.63522727,1497,78,5,1.8,21
3,2014,51495,2,0,1,36.5976,1968,174.33,5,21.95,9
6,2011,30000,2,0,1,19.7064,2993,313,4,49,10
1,2017,97430,2,0,1,30.5325,2967,245,7,62.67,9
9,2008,42496,4,1,1,39.35988346,998,67.1,5,1.4,25
9,2012,83000,2,1,1,47.61,1396,90,5,5.5,22
2,2009,37000,3,0,3,39.87102273,1197,78.9,5,2.95,22
3,2016,28503,3,0,1,44.69318182,1199,88.7,5,6.86,21
4,2015,76496,2,1,1,52.164,1248,74,5,6.15,25
9,2011,79152,3,1,2,43.51704545,1197,82.85,5,3.3,22
11,2011,32000,3,1,1,38.74193182,1198,73.9,5,2.55,23
7,2009,35000,3,1,1,46.33977273,796,46.3,5,1.5,25
8,2004,105000,3,0,2,26.58068182,1794,125,5,2.5,14
8,2006,56000,3,1,2,46.33977273,796,46.3,5,1.4,25
9,2012,73000,2,1,1,43.7184,1248,88.8,5,3.4,26
9,2012,38000,3,1,1,46.33977273,796,46.3,5,2.25,25
11,2013,775000,2,0,1,39.951,1968,141,5,7.5,18
11,2008,80000,3,0,1,26.58068182,1794,125,5,2.8,14
1,2016,24973,3,1,1,43.75227273,1197,81.83,5,7.66,22
8,2016,45000,2,1,1,50.301,1248,88.5,5,7.15,25
5,2010,87430,3,1,1,39.98863636,1497,118,5,3.5,21
4,2014,133944,2,1,2,37.26,1248,75,5,3.5,26
11,2013,57000,2,1,1,53.406,1498,98.6,5,3.45,21
1,2016,27904,3,1,1,49.63295455,814,55.2,5,3.55,22
3,2015,30717,2,0,2,45.0432,1995,190,5,25.99,10
2,2012,80000,2,1,1,46.2024,1582,126.32,5,5.25,22
7,2013,47304,2,1,1,43.5114,1248,88.8,5,2.9,26
10,2005,100000,3,0,1,33.99034091,1984,227,5,2.05,18
9,2017,30000,3,1,1,56.61920455,998,67.1,5,3.75,25
6,2014,68000,2,1,1,46.989,1498,89.84,5,6.75,19
11,2011,21000,3,1,2,42.34090909,995,62,5,0.95,29
4,2017,21000,2,0,1,40.0131,1999,177,5,52,5
10,2007,119000,3,1,3,30.81477273,1997,141.1,5,3.91,21
3,2019,13747,3,0,1,34.50784091,1798,177.46,5,27.3,18
8,2009,620000,3,1,1,47.89227273,1197,78.9,5,2.7,22
5,2013,70000,2,1,1,47.403,1248,74,5,3.5,25
6,2016,18000,3,0,1,43.51704545,1197,83.14,5,6.2,25
8,2011,83000,2,1,1,47.7756,1461,63.1,5,2.75,24
6,2015,130000,2,1,1,48.438,1248,74,5,3.25,25
9,2012,63400,2,1,1,36.846,1399,67,5,3.25,19
11,2003,65000,3,1,1,40.69431818,993,60,5,0.65,25
9,2017,8350,3,1,1,32.46136364,1998,192,5,35,7
11,2014,45000,2,1,1,48.8313,1364,67.05,5,3.25,14
11,2018,26200,3,1,1,58.10113636,796,47.3,5,2.9,25
2,2011,11000,3,1,3,44.45795455,796,47,5,2.9,25
2,2009,90000,2,0,2,22.77,2993,235,5,17.75,10
6,2015,74000,3,0,2,26.03965909,2496,179.5,5,8.25,24
1,2015,37081,3,0,1,44.45795455,1197,82,5,5.77,22
4,2017,39000,2,1,1,50.301,1248,88.5,5,9.49,25
6,2008,99000,2,0,3,24.9849,2967,241.4,7,12.95,9
8,2015,38000,2,0,1,37.053,2143,136,5,20,8
8,2007,72000,3,1,3,37.87159091,796,37,4,1,25
8,2015,93000,2,1,2,42.3315,1461,83.8,5,7.1,20
6,2017,5900,2,1,1,44.3601,1364,87.2,5,16.5,14
8,2014,25000,2,1,1,32.706,2148,170,5,26,8
4,2010,68000,2,1,2,43.677,1248,73.9,5,3.2,25
3,2017,35676,3,0,1,37.63636364,1497,117.3,7,9.48,21
3,2015,74310,2,1,1,50.508,1120,71,5,4,22
10,2014,59364,2,0,1,29.4147,2143,203,5,26.5,8
3,2014,41380,3,0,2,34.81363636,1595,120.7,5,11.77,8
2,2017,33900,2,0,1,31.05,2143,204,5,37,8
6,2016,28000,3,1,1,41.87045455,1497,117.3,5,8.75,21
4,2007,50958,3,1,1,39.98863636,1086,63,5,1.95,22
8,2011,93982,3,1,1,39.98863636,1497,118,5,3.75,21
9,2010,95000,3,1,1,38.10681818,1599,103.2,5,2.5,22
6,2017,9000,3,0,1,31.75568182,1999,246.74,5,34.5,5
5,2015,52516,3,1,1,42.34090909,1198,86.7,5,4.65,21
2,2015,20000,3,0,1,44.36386364,1598,122,4,32,7
1,2017,56451,2,0,1,27.945,2987,282,5,62.81,8
8,2014,37000,3,1,1,49.63295455,814,55.2,5,3.25,22
11,2014,17400,3,1,1,48.24511364,998,67.04,5,3.1,25
1,2011,90207,2,1,1,43.677,1248,73.9,5,3.91,25
8,2011,89616,2,0,1,33.2649,1995,181,5,11,10
9,2014,85000,2,1,1,27.9243,2179,138.03,5,3.5,26
8,2014,79271,2,0,1,42.1866,1968,143,5,16.5,9
4,2012,56000,2,0,1,26.289,2179,187.7,5,30,3
9,2010,85001,2,0,2,24.84,2987,224,7,28,8
4,2018,12000,2,0,1,27.945,2477,175.56,7,28,15
10,2010,125000,3,1,1,46.33977273,796,46.3,5,0.92,25
9,2013,53000,3,1,1,32.93181818,1061,64,5,2.75,25
1,2017,34990,2,0,1,26.289,2179,187.7,5,53.83,3
9,2011,49768,3,1,2,40.01215909,1591,121.3,5,4.95,22
4,2013,56000,2,0,1,34.6311,2993,218,5,33.5,10
2,2013,75000,2,0,1,30.5118,2993,270.9,5,27.95,5
4,2010,57000,3,0,1,32.22613636,1798,157.75,5,7.25,18
3,2017,37542,2,0,1,32.5611,1968,174.33,5,25.71,9
1,2014,95649,2,0,1,26.289,2179,187.7,5,29.67,3
10,2013,35299,2,0,1,30.7188,2143,170,5,19,8
3,2017,28464,2,1,1,31.878,2179,120,7,13.05,17
6,2015,41000,2,0,1,45.0432,1995,190,5,25.5,10
9,2017,9000,3,1,1,36.225,1497,117.3,7,8.5,21
8,2010,92098,2,0,2,33.12,2400,215,5,7.25,11
9,2005,5834,3,1,1,31.05,1495,94,5,0.8,22
10,2017,40250,3,1,1,40.43556818,1197,81.86,5,6.9,22
1,2018,22397,3,0,1,27.05113636,2996,367,5,70.99,8
11,2015,20800,3,1,2,49.63295455,814,55.2,5,2.25,22
